,0,1,2,3,4,5,6
1,76,77,77,76,75,68,77
2,73,74,74,74,73,73,68
3,88,88,88,88,88,88,88
4,73,77,80,80,77,80,80
5,78,80,88,88,68,78,68
6,80,68,80,68,68,80,68
7,80,68,87,87,80,68,87
8,68,77,80,77,68,80,77
9,80,80,80,68,80,68,80
10,69,80,69,80,80,89,80
11,88,78,68,88,88,88,68
12,88,88,88,88,78,68,88
13,68,68,68,77,68,77,68
14,86,86,86,86,86,67,86
15,69,69,80,80,80,80,80
16,68,77,77,77,86,68,86
17,88,69,77,78,78,73,77
18,80,80,80,68,80,68,80
19,68,68,80,80,80,80,80
20,80,68,68,68,80,68,86
21,84,74,84,84,77,74,88
22,69,80,80,73,80,80,89
23,88,80,69,69,80,69,88
24,74,69,69,78,78,78,74
25,69,77,69,77,69,77,69
26,68,77,68,68,77,77,68
27,68,68,68,73,73,73,73
28,68,80,73,80,73,80,73
29,73,68,74,77,77,73,68
30,80,40,40,40,80,80,80
31,88,68,80,80,68,89,68
32,79,67,79,79,67,67,67
33,68,86,88,73,86,73,88
34,80,80,68,68,77,68,68
35,74,74,76,76,68,76,76
36,80,68,68,68,86,86,68
37,67,80,67,80,80,67,67
38,88,68,87,88,88,68,87
39,87,73,68,73,87,78,78
40,68,77,68,77,68,77,68
41,68,77,68,77,77,68,68
42,67,77,77,77,77,77,77
43,88,88,67,80,80,88,67
44,88,67,88,67,80,80,88
45,77,80,67,77,80,77,67
46,67,80,67,67,67,80,67
47,80,77,80,77,80,67,67
48,67,79,79,67,67,67,67
49,77,67,67,67,67,86,77
50,89,74,89,86,89,89,89
51,89,80,90,90,86,86,89
52,80,80,80,80,67,67,80
53,88,67,88,73,67,88,88
54,68,68,73,88,68,80,68
55,78,80,86,88,80,88,80
56,67,78,78,80,78,67,67
57,80,80,67,67,80,67,67
58,80,67,67,80,67,80,67
59,80,80,80,67,80,67,67
60,66,80,66,80,66,66,80
61,80,67,67,80,80,80,80
62,67,74,87,67,73,67,67
63,67,77,77,67,67,67,76
64,80,67,80,80,80,67,67
65,80,80,80,66,77,66,80
66,77,77,68,77,77,77,68
67,77,67,77,67,67,67,77
68,73,88,73,86,88,73,67
69,67,86,89,77,86,67,89
70,77,86,67,86,67,77,77
71,75,76,67,84,84,84,67
72,67,81,81,77,78,78,78
73,77,67,73,90,77,67,77
74,77,80,73,80,77,80,77
75,79,79,67,67,67,79,67
76,78,66,80,80,66,78,80
77,66,80,66,66,66,88,66
78,74,66,66,74,80,66,76
79,66,73,73,73,66,66,66
80,77,89,77,77,77,77,77
81,77,86,77,86,67,86,67
82,66,74,66,87,74,66,66
83,66,86,66,77,77,86,86
84,87,87,67,67,67,83,87
85,77,67,77,67,67,67,77
86,80,66,66,80,80,80,80
87,80,66,80,66,66,80,80
88,86,66,86,66,77,86,86
89,87,82,55,82,82,55,82
90,86,88,88,66,66,86,66
91,77,76,66,76,66,84,66
92,73,86,73,78,78,78,66
93,69,77,69,77,80,80,77
94,63,77,63,77,63,76,77
95,65,77,65,75,65,84,65
96,88,87,87,88,88,64,64
97,63,80,80,74,80,90,80
98,88,64,80,80,80,88,80
99,75,10,76,10,76,76,75
100,80,80,70,78,70,70,80
101,75,83,54,83,83,87,87
102,75,43,75,76,76,75,43
103,76,76,69,76,69,69,75
104,77,77,77,69,77,69,69
105,69,77,69,69,69,77,69
106,69,80,88,69,88,69,80
107,80,80,69,80,69,80,69
108,77,69,69,77,69,69,77
109,87,77,77,77,77,87,77
110,89,68,74,73,89,73,89
111,69,86,77,69,86,86,77
112,69,69,76,69,76,76,74
113,80,80,69,80,69,69,69
114,69,75,75,75,69,75,75
115,69,79,69,69,79,79,69
116,69,69,69,77,69,69,69
117,74,88,88,69,88,88,73
118,74,73,69,74,74,88,74
119,79,67,79,79,79,67,67
120,69,78,78,77,69,77,69
121,87,89,87,87,69,89,87
122,69,69,77,77,77,77,69
123,83,77,83,69,77,83,83
124,80,80,85,80,69,69,69
125,69,80,69,80,86,69,86
126,69,69,69,80,69,80,80
127,45,73,78,78,80,80,78
128,88,69,88,73,69,73,73
129,80,69,88,86,88,88,78
130,78,78,69,78,69,69,69
131,34,80,80,80,80,34,34
132,76,74,12,84,74,80,80
133,86,12,12,89,80,12,12
134,14,14,14,80,80,80,14
135,80,80,87,41,85,41,87
136,80,12,80,12,12,80,80
137,69,69,69,80,69,69,69
138,69,69,69,76,69,69,77
139,42,42,42,77,77,77,76
140,66,66,76,76,76,74,76
141,76,87,74,27,81,27,74
142,74,76,74,76,74,84,44
143,38,38,38,38,38,84,84
144,61,88,73,61,73,61,61
145,88,65,87,73,87,65,88
146,69,69,69,69,80,69,80
147,69,69,73,69,88,73,73
148,74,74,69,69,69,73,69
149,69,69,80,69,69,69,80
150,80,69,80,80,77,77,77
151,74,44,76,77,77,44,77
152,77,87,77,46,46,77,87
153,61,61,77,77,77,77,77
154,52,52,77,52,52,52,77
155,60,84,60,60,84,84,84
156,78,65,65,88,78,65,65
157,80,80,59,89,59,59,80
158,62,62,62,77,62,77,62
159,65,85,85,88,88,65,88
160,80,80,65,65,65,65,65
161,73,73,59,59,86,59,73
162,80,54,54,80,54,80,80
163,77,47,47,47,47,77,47
164,87,62,73,73,62,73,87
165,59,80,80,80,80,59,80
166,59,80,59,59,80,59,59
167,77,77,77,77,53,53,53
168,77,47,47,77,47,47,47
169,77,66,75,77,66,77,66
170,80,77,86,61,86,86,86
171,87,64,77,87,77,64,77
172,89,53,73,74,53,80,73
173,73,74,60,60,77,73,77
174,54,74,74,74,74,73,74
175,58,58,58,58,87,58,58
176,88,73,89,88,73,89,59
